,premise,hypothesis,labels,genre
9044,"In fact, the Flamingo would launch over two decades of strong mob presence in Las Vegas.",The Flamingo would cease to host any more events.,1,travel
9045,Or to judge by the  Failing to nurse at night can lead to painful engorgement or even breast infection.,Mothers can go many hours without nursing.,1,slate
9047,"This was used for ceremonial purposes, allowing statues of the gods to be carried to the river for journeys to the west bank, or to the Luxor sanctuary.",Statues of the Gods were carried by boat along the river.,0,travel
9048,Your man wouldn't have remained conscious after the first blow.,Your man stayed conscious even after the first blow.,1,fiction
9051,I nodded again.,I shook my head multiple times.,1,fiction
9052,i don't know what kind of a summer we're expecting this year i imagine it's going to be hot again,"I work in the weather station, so I know all about the predictions for the weather this summer.",1,telephone
9053,Such parties may include,Parties could or could not include,0,government
9054,"In addition, Dublin Tourism has devised and signposted three self-guided walking tours of the city, which you can follow using the booklets provided.",There are several self-guided tours of Dublin for tourists to choose from.,0,travel
9055,of course you could annex Cuba but they wouldn't like that a bit,"We could annex Cuba, but they wouldn't like that.",0,telephone
9056,Total volume grew 13.,There was an increase in volume of 13.,0,government
9057,"Even though national saving remains relatively low by U.S. historical standards, economic growth in recent years has been high because more and better investments were made.",Americans are not saving much.,0,government
9058,"With most plants needing to install control equipment to meet these requirements, it is likely that this approach would lead to installation of controls that become obsolete and stranded capital investments as additional requirements are promulgated.",Most plants are already up to code.,1,government
9060,"OMB issued the guidance in Memorandum M0010, dated April 25, 2000.",Memorandum M0010 was issued by INS.,1,government
9061,"Summary of Deferred Maintenance as of September 30, 199Z (in Millions of Dollars):","Deferred Maintenance in Millions of Dollars, as of September 30, 199Z:",0,government
9062,FDA suggests there may be an association between BSE and a form of human TSE known as new variant Creutzfeldt-Jakob disease.,The FDA believes there is a link that connects them to the disease.,0,government
9063,to uh working a steady eight hour job as it were i had been working for a camp and had relatively real long hours sixteen years old and could handle getting up at five and not getting to bed until ten or eleven and,I had been working all day long for a camp.,0,telephone
9066,uh-huh i i thought they did an excellent job of actually aging the person you know from when he was a little kid to little older to little older to except the last the very last you know the last person the last actor that played the kid,"Yeah they did a great job with making that person grow old from 5 to 20 years old, except that last part, you totally knew who that actor was.",0,telephone
9067,"Prior to 1986, the United States had been a net creditor because its holdings of foreign assets exceeded foreign holdings of U.S. assets.",The US was a net creditor before 1986 because of its foreign asset holdings.,0,government
9068,oh really i was um i was TDY at Bent Waters,I had a full time position at Bent Waters. ,1,telephone
9069,"No, monsieur.",The speaker is answering no to a question.,0,fiction
9071,"The rain had stopped, but the green glow painted everything around them.",The red glow painted everything around them after the rain had stopped.,1,fiction
9072,Critics complain that John Frankenheimer's miniseries about the Alabama governor and presidential candidate plays fast and loose with history.,Critics believe John Frankenheimer's miniseries is fast and loose with history. ,0,slate
9073,"The main funding source for Maryland's legal services to the poor has fallen on hard times, and advocates are preparing to seek unprecedented state financial help - even as they keep an eye on a legal challenge that threatens to cut off a main source of funding for such services nationwide.",Nationwide legal services have a surplus of funding from both state and local governments. ,1,government
9074,The final rule contains a Federalism Assessment under Executive Order,The final rule had a federalism assessment that was added through executive order.,0,government
9076,It means that they gather and interpret their material fairly and argue about its interpretations rationally.,They gather and interpret the material fairly and argue rationally about it.,0,slate
